resort|confirmation_no|resv_status|business_date|market_code|country_code|no_rooms_cal|rev_cal
Example|593358|CHECKED OUT|2/7/23|test20|AE|1|2048.85
Example|593359|CHECKED OUT|2/7/23|test20|AE|1|2048.85
Example|589850|CHECKED OUT|2/7/23|test19|US|1|3419.16
Example|589169|CHECKED OUT|2/7/23|test12|US|1|3419
Example|593629|CHECKED IN|2/7/23|test6|TH|1|4248.09
Example|593630|CHECKED IN|2/7/23|test6|NZ|1|5417.27
Example|591414|CHECKED IN|2/7/23|test21|IN|1|3200
Example|593388|CHECKED OUT|2/7/23|test11|BD|1|3158.6
Example|593389|CHECKED OUT|2/7/23|test11|KW|1|3158.6
Example|593394|CHECKED OUT|3/7/23|test11|RU|1|3150.01
Example|592424|CHECKED OUT|3/7/23|test9|SA|1|2299.07
Example|593117|CHECKED OUT|3/7/23|test9|KR|1|2299.07
Example|593113|CHECKED OUT|3/7/23|test9|CN|1|2049.07
Example|593139|CHECKED OUT|3/7/23|test23|NZ|1|4453.6
Example|593551|CHECKED OUT|3/7/23|test6|SA|1|4821.79
Example|593580|CHECKED OUT|3/7/23|test11|MM|1|3798
Example|593600|CHECKED OUT|3/7/23|test4|FR|1|2644.45
Example|590356|CHECKED OUT|3/7/23|test10|IN|1|3705.6
Example|574748|CHECKED OUT|3/7/23|test22|AU|1|3375.28
Example|574749|CHECKED OUT|3/7/23|test22|AU|1|3375.28
Example|590508|CHECKED OUT|3/7/23|test7|US|1|4071.32
Example|591429|CHECKED OUT|3/7/23|test6|KR|1|2888.7
Example|590642|CHECKED OUT|3/7/23|test10|US|1|3530.82
Example|593664|CHECKED OUT|3/7/23|test11|ES|1|3330.01
Example|590946|CHECKED OUT|3/7/23|test31|KR|1|3981.77
Example|590953|CHECKED OUT|3/7/23|test20|PL|1|2048.85
